timestamp,process_id, process_name, execution_processid
02-02-2025 03:36:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 04:46:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 04:46:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 05:36:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 04:56:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 04:52:38,0x27c,C:\Windows\System32\lsass.exe,4
02-02-2025 08:44:54,0x23c,C:\Windows\System32\lsass.exe,572
02-02-2025 13:36:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 13:36:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:46:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:46:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:56:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 04:06:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 04:26:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 05:46:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 05:56:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:56:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:46:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:43:49,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 10:07:39,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:56:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:02:46,0x27c,C:\Windows\System32\lsass.exe,4
02-02-2025 13:16:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 13:06:50,0x27c,C:\Windows\System32\lsass.exe,4
02-02-2025 06:19:43,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 06:46:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 06:36:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:16:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 12:36:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 12:46:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 12:44:08,0x25c,C:\Windows\System32\lsass.exe,604
02-02-2025 14:56:52,0x27c,C:\Windows\System32\lsass.exe,4
02-02-2025 15:37:20,0x3e8,C:\Windows\System32\svchost.exe,712
02-02-2025 14:55:59,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 00:08:51,0x27c,C:\Windows\System32\lsass.exe,4
02-02-2025 01:16:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:16:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 00:46:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:06:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:36:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:56:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
